wave_number,items,patial,max_patial,date_start,date_endzone,mhe,wave_type
136,6,2970,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
137,10,800,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
138,1,3375,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
139,2,1995,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
140,1,3275,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
141,1,1300,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
142,1,3225,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
143,1,3200,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
144,2,2870,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
145,2,2380,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
146,6,1840,3000,02/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
147,1,3400,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
148,1,1020,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
149,1,2450,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
150,1,80,3000,03/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
151,1,3500,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
152,1,3375,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
153,1,2850,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
154,2,2865,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
155,1,80,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
156,1,1290,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
157,1,2825,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
158,2,480,3000,02/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
159,1,3500,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
160,1,3350,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
161,2,2670,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
162,11,5760,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
163,1,10240,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
164,1,10240,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
165,2,2720,3000,07/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
166,4,320,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
167,5,2960,3000,07/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
168,4,2480,3000,07/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
169,7,3000,3000,07/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
170,46,2915,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
